conm,cusip,cusip9digit,gvkey,id1,loc,ticker
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1ST PRESTIGE WEALTH MGMT INC,33612Y10,33612Y106,65525,23,USA,FPWM
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1ST BANCORP IND,31867L10,31867L100,18284,13,USA,FBCV.1
180 CONNECT INC,68234310,682343108,160475,3,USA,3CNCT
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1LIFE HEALTHCARE INC,68269G10,68269G107,36025,10,USA,ONEM
202 DATA SYSTEMS INC,90206410,902064104,10785,31,USA,3TOOT.
1ST WASHINGTON BANCORP INC,33690910,336909106,17147,28,USA,WFSB
3 BEALLS HOLDING CORP,88553100,885531004,15034,42,USA,5983A
2ND SWING INC-REDH,90211X10,90211X103,110061,40,USA,SSG.3
21ST CENTURY FILM CORP,90131B10,90131B108,16157,34,USA,TFFC
3D IMAGE TECHNOLOGY INC,88554F10,88554F101,31023,49,USA,3TDITE
21ST CENTURY ONCOLOGY HOLDINGS,90131G10,90131G107,265008,36,USA,ICC
3DX INDUSTRIES INC,88556A10,88556A100,182637,58,USA,DDDX
3D PIONEER SYSTEMS INC,88555Y10,88555Y109,17803,51,USA,DPSM
3D LABS INC LTD,G8846W10,G8846W103,64005,50,USA,TDDD
4D MOLECULAR THER INC -REDH,35099P93,35099P938,35729,63,USA,DDDD
800 AMERICA.COM INC,28248N10,28248N102,125859,73,USA,3ACCO
360NETWORKS INC,88575T20,88575T205,134453,45,USA,3TSIXQ.1
1ST UTD BANCORP,33740710,337407100,25769,27,USA,FUBC.
2 I INC,90206510,902065101,27778,29,USA,TWOI
30DC INC,88430R10,88430R105,185558,43,USA,TDCH
8POINT3 ENERGY PARTNERS LP,28253910,282539105,23287,79,USA,CAFD
808 RENEWABLE ENERGY CORP,28252A10,28252A103,21189,77,USA,RNWR
A D A M INC,00088U10,00088U108,61523,88,USA,ADAM.1
A CLEAN SLATE INC,00089L10,00089L107,186661,86,USA,DRWN
A I C INTL INC,00134810,001348101,1025,89,USA,4225B
A & W BRANDS INC,00020910,000209106,13592,84,USA,SODA.1
9278 COMMUNICATIONS INC,65440W10,65440W100,65381,82,USA,3NTSE
A L D INC,00160410,001604107,1033,90,USA,3ALDK
A CLEAN SLATE INC -OLD,00099X91,00099X919,63912,87,USA,DRWN.1
A PEA IN THE POD INC,00193610,001936103,28898,92,USA,APOD
A S V INC,00196310,001963107,30584,94,USA,ASVI
A PLUS NETWORK INC,00203310,002033108,28782,93,USA,ACOM.
A-1 GROUP INC,03740J10,03740J107,185392,98,USA,AWON
AAM S&P 500 HIGH DIV VAL ETF,26922A59,26922A594,32765,106,USA,SPDV
AAI FOSTERGRANT INC,00035P93,00035P939,128178,103,USA,9860B
ABBY INC,00287T30,00287T308,12645,126,USA,ABBY
ABAZIAS INC,00256K20,00256K205,64827,122,USA,3ABZA
A21 GROUP INC,00218410,002184109,125582,101,USA,ATWOQ
AAM LOW DUR PREF IN SEC ETF,26922A19,26922A198,35878,105,USA,PFLD
ABAKAN INC,00258J10,00258J107,178152,119,USA,ABKI
AAM S&P DEVPD MRK HG DIV ETF,26922A34,26922A347,33419,107,USA,DMDV
AAM S&P EMRG MRKT HI DIV ETF,26922A58,26922A586,32766,108,USA,EEMD
AAMPRO GROUP INC,00253220,002532208,141023,111,USA,APGO
ABC FAMILY WORLDWIDE INC,35138B93,35138B932,146314,128,USA,0179B
ABERDEEN ST BL WTI CRUD -ETF,00326150,003261500,30763,133,USA,AOIL
ABERDEEN STANDRD BLMBRG -ETF,00326120,003261203,30766,134,USA,BCD
