conm,cusip,cusip9digit,gvkey,id1,loc,ticker
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1-800-ATTORNEY INC,68231A20,68231A204,62884,6,USA,ATTY
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1ST BANCORP IND,31867L10,31867L100,18284,13,USA,FBCV.1
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1ST PRESTIGE WEALTH MGMT INC,33612Y10,33612Y106,65525,23,USA,FPWM
1ST UTD BANCORP,33740710,337407100,25769,27,USA,FUBC.
1ST WASHINGTON BANCORP INC,33690910,336909106,17147,28,USA,WFSB
2 I INC,90206510,902065101,27778,29,USA,TWOI
3 BEALLS HOLDING CORP,88553100,885531004,15034,42,USA,5983A
360NETWORKS INC,88575T20,88575T205,134453,45,USA,3TSIXQ.1
2ND SWING INC-REDH,90211X10,90211X103,110061,40,USA,SSG.3
2002 TARGET TERM TR INC,90210610,902106103,26041,30,USA,TTR.1
21ST CENTURY FILM CORP,90131B10,90131B108,16157,34,USA,TFFC
3D LABS INC LTD,G8846W10,G8846W103,64005,50,USA,TDDD
202 DATA SYSTEMS INC,90206410,902064104,10785,31,USA,3TOOT.
800 AMERICA.COM INC,28248N10,28248N102,125859,73,USA,3ACCO
800.COM INC,28248P10,28248P107,134584,76,USA,EHDC
4D MOLECULAR THER INC -REDH,35099P93,35099P938,35729,63,USA,DDDD
A D A M INC,00088U10,00088U108,61523,88,USA,ADAM.1
A NOVO BROADBAND INC,00182P10,00182P104,61545,91,USA,ANVB
A S V INC,00196310,001963107,30584,94,USA,ASVI
A PLUS NETWORK INC,00203310,002033108,28782,93,USA,ACOM.
A CLEAN SLATE INC -OLD,00099X91,00099X919,63912,87,USA,DRWN.1
A CLEAN SLATE INC,00089L10,00089L107,186661,86,USA,DRWN
A & W BRANDS INC,00020910,000209106,13592,84,USA,SODA.1
A L D INC,00160410,001604107,1033,90,USA,3ALDK
A PEA IN THE POD INC,00193610,001936103,28898,92,USA,APOD
A I C INTL INC,00134810,001348101,1025,89,USA,4225B
A21 GROUP INC,00218410,002184109,125582,101,USA,ATWOQ
AAM LOW DUR PREF IN SEC ETF,26922A19,26922A198,35878,105,USA,PFLD
AAM S&P EMRG MRKT HI DIV ETF,26922A58,26922A586,32766,108,USA,EEMD
AAM S&P 500 HIGH DIV VAL ETF,26922A59,26922A594,32765,106,USA,SPDV
AAMPRO GROUP INC,00253220,002532208,141023,111,USA,APGO
AAM S&P DEVPD MRK HG DIV ETF,26922A34,26922A347,33419,107,USA,DMDV
ABERDEEN STNDRD BLM ALL -ETF,00326110,003261104,30761,135,USA,BCI
ABCO MARKETS INC,00288010,002880102,15433,130,USA,6020B
ABERDEEN STANDRD BLMBRG -ETF,00326120,003261203,30766,134,USA,BCD
ABERDEEN ST BL WTI CRUD -ETF,00326150,003261500,30763,133,USA,AOIL
