conm,cusip,cusip9digit,gvkey,id1,loc,ticker
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1ST BANCORP IND,31867L10,31867L100,18284,13,USA,FBCV.1
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1LIFE HEALTHCARE INC,68269G10,68269G107,36025,10,USA,ONEM
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1ST PRESTIGE WEALTH MGMT INC,33612Y10,33612Y106,65525,23,USA,FPWM
180 CONNECT INC,68234310,682343108,160475,3,USA,3CNCT
1ST WASHINGTON BANCORP INC,33690910,336909106,17147,28,USA,WFSB
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1ST UTD BANCORP,33740710,337407100,25769,27,USA,FUBC.
2 I INC,90206510,902065101,27778,29,USA,TWOI
202 DATA SYSTEMS INC,90206410,902064104,10785,31,USA,3TOOT.
3D LABS INC LTD,G8846W10,G8846W103,64005,50,USA,TDDD
3D IMAGE TECHNOLOGY INC,88554F10,88554F101,31023,49,USA,3TDITE
21ST CENTURY ONCOLOGY HOLDINGS,90131G10,90131G107,265008,36,USA,ICC
21ST CENTURY FILM CORP,90131B10,90131B108,16157,34,USA,TFFC
3D PIONEER SYSTEMS INC,88555Y10,88555Y109,17803,51,USA,DPSM
4D MOLECULAR THER INC -REDH,35099P93,35099P938,35729,63,USA,DDDD
3 BEALLS HOLDING CORP,88553100,885531004,15034,42,USA,5983A
30DC INC,88430R10,88430R105,185558,43,USA,TDCH
360NETWORKS INC,88575T20,88575T205,134453,45,USA,3TSIXQ.1
3DX INDUSTRIES INC,88556A10,88556A100,182637,58,USA,DDDX
808 RENEWABLE ENERGY CORP,28252A10,28252A103,21189,77,USA,RNWR
8POINT3 ENERGY PARTNERS LP,28253910,282539105,23287,79,USA,CAFD
A CLEAN SLATE INC,00089L10,00089L107,186661,86,USA,DRWN
A & W BRANDS INC,00020910,000209106,13592,84,USA,SODA.1
9278 COMMUNICATIONS INC,65440W10,65440W100,65381,82,USA,3NTSE
2ND SWING INC-REDH,90211X10,90211X103,110061,40,USA,SSG.3
800 AMERICA.COM INC,28248N10,28248N102,125859,73,USA,3ACCO
A CLEAN SLATE INC -OLD,00099X91,00099X919,63912,87,USA,DRWN.1
A-1 GROUP INC,03740J10,03740J107,185392,98,USA,AWON
A PLUS NETWORK INC,00203310,002033108,28782,93,USA,ACOM.
A PEA IN THE POD INC,00193610,001936103,28898,92,USA,APOD
A D A M INC,00088U10,00088U108,61523,88,USA,ADAM.1
A S V INC,00196310,001963107,30584,94,USA,ASVI
A21 GROUP INC,00218410,002184109,125582,101,USA,ATWOQ
AAM S&P EMRG MRKT HI DIV ETF,26922A58,26922A586,32766,108,USA,EEMD
AAM S&P DEVPD MRK HG DIV ETF,26922A34,26922A347,33419,107,USA,DMDV
AAM S&P 500 HIGH DIV VAL ETF,26922A59,26922A594,32765,106,USA,SPDV
AAMPRO GROUP INC,00253220,002532208,141023,111,USA,APGO
AAM LOW DUR PREF IN SEC ETF,26922A19,26922A198,35878,105,USA,PFLD
ABAKAN INC,00258J10,00258J107,178152,119,USA,ABKI
A I C INTL INC,00134810,001348101,1025,89,USA,4225B
ABERDEEN STNDRD PHS SLR -ETF,00326410,003264108,183303,137,USA,SIVR
ABERDEEN STANDRD BLMBRG -ETF,00326120,003261203,30766,134,USA,BCD
ABERDEEN STNDRD BLM ALL -ETF,00326110,003261104,30761,135,USA,BCI
ABERDEEN ST BL WTI CRUD -ETF,00326150,003261500,30763,133,USA,AOIL
ABERDEEN STNDRD PHS PLT -ETF,00326010,003260106,184097,136,USA,PPLT
ABC FAMILY WORLDWIDE INC,35138B93,35138B932,146314,128,USA,0179B
ABCO MARKETS INC,00288010,002880102,15433,130,USA,6020B
ABBY INC,00287T30,00287T308,12645,126,USA,ABBY
AAI FOSTERGRANT INC,00035P93,00035P939,128178,103,USA,9860B
A L D INC,00160410,001604107,1033,90,USA,3ALDK
ABAZIAS INC,00256K20,00256K205,64827,122,USA,3ABZA
ABPRO CORP -REDH,00085010,000850107,33464,156,USA,ABP
ABOVE TECHNOLOGIES INC,00373830,003738309,22553,153,USA,3ABVE
ABOVENET COMMUNICATIONS INC,00374310,003743101,116606,154,USA,ABOV
ABRAXAS ENERGY PARTNERS-REDH,00382710,003827102,179435,158,USA,ABE.1
ABSOLUTE ENTERTAINMENT INC,00386310,003863107,28199,162,USA,ABSO
ABS INDUSTRIES INC,00078110,000781104,1009,161,USA,ABSI
ABSOLUTE POTENTIAL INC,00388N10,00388N101,64483,163,USA,ABLP
ABF FREIGHT SYSTEM INC,00099Y00,00099Y008,15456,141,USA,6045A
ABEX INC,00338710,003387107,15277,140,USA,ABE.2
ACAMAR PARTNERS ACQUISITION,00428510,004285102,34615,176,USA,ACAM
ABERDEEN STNDRD PHY PRC -ETF,00326310,003263100,185775,139,USA,GLTR
ABERDEEN STNDRD PHY PAL -ETF,00326210,003262102,184098,138,USA,PALL
ACCELGRAPHICS INC,00430P10,00430P104,64603,184,USA,ACCL.
ACA JOE INC,00387030,003870300,1083,167,USA,3ACAJC
ACCELLENT INC,00499X93,00499X931,162928,185,USA,5298B
ACCELERATED PHARMA INC -REDH,00434Y10,00434Y101,29003,182,USA,ACCP
ACCENT OPTICAL TECH INC-REDH,00430N99,00430N992,264671,189,USA,AXNT
ACCESS POWER INC,00431N10,00431N108,66119,200,USA,ACCR
ACCESS HEALTHNET INC,00431530,004315305,25142,196,USA,3AHNT
ACCESS MIDSTREAM PARTNERS LP,00434L10,00434L109,184321,197,USA,ACMP
ACCESS CORP,00431210,004312104,1090,194,USA,1416B
ACCESS WORLDWIDE CMMNCTNS,00431910,004319109,66454,203,USA,AWWC
ACCLARENT INC -REDH,00499Z92,00499Z928,180230,207,USA,0505B
ACCPAC INTERNATIONAL -REDH,00435410,004354106,152009,212,USA,3ACPC.1
ACCORD NETWORKS LTD,M0169010,M01690102,137410,211,USA,ACCD.1
ACCUGRAPH CORP  -CL A,00438E30,00438E309,14056,217,USA,ACCUF
ACCOLADE INC -REDH,00499H93,00499H936,36263,209,USA,ACCD
ACELITY HOLDINGS INC -REDH,00499O93,00499O931,14555,228,USA,9566B
ACCUSHARES SPOT CBOE VIX UP,00439V77,00439V771,24001,224,USA,VXUP
ACCUSHARES SPOT CBOE VIX DWN,00439V76,00439V763,23998,223,USA,VXDN
ACCURO HEALTHCARE INC-REDH,00439N10,00439N100,179412,222,USA,ACCU.1
