conm,cusip,cusip9digit,gvkey,id1,loc,ticker
10X GENOMICS INC,88025U10,88025U109,35640,1,USA,TXG
180 CONNECT INC,68234310,682343108,160475,3,USA,3CNCT
180 CONNECT INC,68234310,682343108,160475,3,USA,3CNCT
1-800 CONTACTS INC,68197710,681977104,66425,5,USA,CTAC.1
1-800-ATTORNEY INC,68231A20,68231A204,62884,6,USA,ATTY
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1LIFE HEALTHCARE INC,68269G10,68269G107,36025,10,USA,ONEM
1895 BANCORP OF WISCONSN INC,28252W10,28252W105,34618,9,USA,BCOW
1LIFE HEALTHCARE INC,68269G10,68269G107,36025,10,USA,ONEM
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1ST BANCORP IND,31867L10,31867L100,18284,13,USA,FBCV.1
1ST BERGEN BANCORP,31891510,318915105,62533,14,USA,FBER.1
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1ST CENTURY BANCSHARES INC,31943X10,31943X102,264418,17,USA,FCTY
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1ST INDEPENDENCE FINL GROUP,32053S10,32053S107,61390,20,USA,FIFG.1
