conm,cusip,cusip9digit,gvkey,id1,loc,ticker
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1ST BANCORP IND,31867L10,31867L100,18284,13,USA,FBCV.1
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1-800-ATTORNEY INC,68231A20,68231A204,62884,6,USA,ATTY
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1ST PRESTIGE WEALTH MGMT INC,33612Y10,33612Y106,65525,23,USA,FPWM
202 DATA SYSTEMS INC,90206410,902064104,10785,31,USA,3TOOT.
2 I INC,90206510,902065101,27778,29,USA,TWOI
1ST WASHINGTON BANCORP INC,33690910,336909106,17147,28,USA,WFSB
1ST UTD BANCORP,33740710,337407100,25769,27,USA,FUBC.
2002 TARGET TERM TR INC,90210610,902106103,26041,30,USA,TTR.1
21ST CENTURY FILM CORP,90131B10,90131B108,16157,34,USA,TFFC
2ND SWING INC-REDH,90211X10,90211X103,110061,40,USA,SSG.3
360NETWORKS INC,88575T20,88575T205,134453,45,USA,3TSIXQ.1
3D LABS INC LTD,G8846W10,G8846W103,64005,50,USA,TDDD
3 BEALLS HOLDING CORP,88553100,885531004,15034,42,USA,5983A
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
