conm,cusip,cusip9digit,gvkey,id1,loc,ticker
180 CONNECT INC,68234310,682343108,160475,3,USA,3CNCT
1-800 CONTACTS INC,68197710,681977104,66425,5,USA,CTAC.1
1-800-ATTORNEY INC,68231A20,68231A204,62884,6,USA,ATTY
180 CONNECT INC,68234310,682343108,160475,3,USA,3CNCT
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
10X GENOMICS INC,88025U10,88025U109,35640,1,USA,TXG
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1895 BANCORP OF WISCONSN INC,28252W10,28252W105,34618,9,USA,BCOW
1LIFE HEALTHCARE INC,68269G10,68269G107,36025,10,USA,ONEM
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1ST BANCORP IND,31867L10,31867L100,18284,13,USA,FBCV.1
1LIFE HEALTHCARE INC,68269G10,68269G107,36025,10,USA,ONEM
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1PM INDUSTRIES INC,68276T10,68276T100,25089,12,USA,OPMZ
1ST CENTURY BANCSHARES INC,31943X10,31943X102,264418,17,USA,FCTY
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1ST BERGEN BANCORP,31891510,318915105,62533,14,USA,FBER.1
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
1ST INDEPENDENCE FINL GROUP,32053S10,32053S107,61390,20,USA,FIFG.1
1ST PRESTIGE WEALTH MGMT INC,33612Y10,33612Y106,65525,23,USA,FPWM
1ST PRESTIGE WEALTH MGMT INC,33612Y10,33612Y106,65525,23,USA,FPWM
1ST PRESTIGE WEALTH MGMT INC,33612Y10,33612Y106,65525,23,USA,FPWM
1ST STATE BANCORP INC,33645S10,33645S100,119974,25,USA,FSBC.1
2 I INC,90206510,902065101,27778,29,USA,TWOI
2 I INC,90206510,902065101,27778,29,USA,TWOI
2 I INC,90206510,902065101,27778,29,USA,TWOI
202 DATA SYSTEMS INC,90206410,902064104,10785,31,USA,3TOOT.
2002 TARGET TERM TR INC,90210610,902106103,26041,30,USA,TTR.1
202 DATA SYSTEMS INC,90206410,902064104,10785,31,USA,3TOOT.
202 DATA SYSTEMS INC,90206410,902064104,10785,31,USA,3TOOT.
2050 MOTORS INC,90214L10,90214L106,20547,33,USA,ETFM
2020 CHINACAP ACQUIRCO INC,90212G10,90212G109,178840,32,USA,EDS.1
21ST CENTURY FILM CORP,90131B10,90131B108,16157,34,USA,TFFC
21ST CENTURY FILM CORP,90131B10,90131B108,16157,34,USA,TFFC
21ST CENTURY FILM CORP,90131B10,90131B108,16157,34,USA,TFFC
21ST CENTURY INS GROUP,90130N10,90130N103,14830,35,USA,TW.1
21ST CENTURY ONCOLOGY HOLDINGS,90131G10,90131G107,265008,36,USA,ICC
21ST CENTURY ONCOLOGY HOLDINGS,90131G10,90131G107,265008,36,USA,ICC
2ND SWING INC-REDH,90211X10,90211X103,110061,40,USA,SSG.3
2ND SWING INC-REDH,90211X10,90211X103,110061,40,USA,SSG.3
2ND SWING INC-REDH,90211X10,90211X103,110061,40,USA,SSG.3
3 BEALLS HOLDING CORP,88553100,885531004,15034,42,USA,5983A
3 BEALLS HOLDING CORP,88553100,885531004,15034,42,USA,5983A
360NETWORKS INC,88575T20,88575T205,134453,45,USA,3TSIXQ.1
3 BEALLS HOLDING CORP,88553100,885531004,15034,42,USA,5983A
30DC INC,88430R10,88430R105,185558,43,USA,TDCH
360 COMMUNICATIONS CO,88557110,885571109,62229,44,USA,XO
30DC INC,88430R10,88430R105,185558,43,USA,TDCH
360NETWORKS INC,88575T20,88575T205,134453,45,USA,3TSIXQ.1
360NETWORKS INC,88575T20,88575T205,134453,45,USA,3TSIXQ.1
