conm,cusip,cusip9digit,gvkey,id1,loc,ticker
1-800 CONTACTS INC,68197710,681977104,66425,5,USA,CTAC.1
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1-800-ATTORNEY INC,68231A20,68231A204,62884,6,USA,ATTY
10X GENOMICS INC,88025U10,88025U109,35640,1,USA,TXG
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
180 CONNECT INC,68234310,682343108,160475,3,USA,3CNCT
1LIFE HEALTHCARE INC,68269G10,68269G107,36025,10,USA,ONEM
180 CONNECT INC,68234310,682343108,160475,3,USA,3CNCT
1895 BANCORP OF WISCONSN INC,28252W10,28252W105,34618,9,USA,BCOW
1LIFE HEALTHCARE INC,68269G10,68269G107,36025,10,USA,ONEM
